WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Gene3D	G3DSA:3.90.550.20		127	568	9.1E-106	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Gene3D	G3DSA:1.10.274.80		427	538	9.1E-106	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Pfam	PF12919	TcdA/TcdB catalytic glycosyltransferase domain	127	515	1.0E-72	T	19-02-2019	IPR024770	TcdA/TcdB toxin, catalytic glycosyltransferase domain	GO:0016757	
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	1287	1309	-	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	SUPERFAMILY	SSF53448		103	584	2.06E-64	T	19-02-2019	IPR029044	Nucleotide-diphospho-sugar transferases		
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	1311	1333	-	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Pfam	PF12920	TcdA/TcdB pore forming domain	1073	1715	1.0E-122	T	19-02-2019	IPR024769	TcdA/TcdB toxin, pore forming domain	GO:0009405	
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	MobiDBLite	mobidb-lite	consensus disorder prediction	75	94	-	T	19-02-2019
WP_109785492.1	6bfe862b57bc49b65be12b5cb48bf1e0	2372	Gene3D	G3DSA:1.10.3730.30		169	263	9.1E-106	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	2664	2683	5.873	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51771	CGT/MARTX cysteine protease (CPD) domain profile.	569	776	60.931	T	19-02-2019	IPR020974	CGT/MARTX, cysteine protease (CPD) domain		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	ProSiteProfiles	PS51170	Cell wall-binding repeat profile.	1923	1942	8.115	T	19-02-2019	IPR018337	Cell wall/choline-binding repeat		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:1.20.58.1190		5	89	6.4E-39	T	19-02-2019
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	Gene3D	G3DSA:3.40.50.11050		543	809	4.6E-118	T	19-02-2019	IPR038383	CGT/MARTX, cysteine protease (CPD) domain superfamily		
WP_077746848.1	6a734712f5dfaaea3e65538d395e53d2	2689	SUPERFAMILY	SSF69360		2368	2515	1.57E-27	T	19-02-2019
