Query_Accession	Target_Accession	Percent_Identity	Alignment_Length	Mismatches	Gap_Open	Query_Start	Query_End	Target_Start	Target_End	E_value	Score	Percent_Positive
sp|P18177.3|TOXB_CLODI:800-1814	EQI47082.1	99.901	1015	1	0	1	1015	518	1532	0.0	1211	100.00
sp|P18177.3|TOXB_CLODI:800-1814	EQE46098.1	99.901	1015	1	0	1	1015	800	1814	0.0	1211	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_096000516.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095905906.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095907017.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077726702.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_074133632.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021378956.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_118822116.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_009895693.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_003434531.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095906194.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095921031.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095918062.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_095892026.1	99.803	1015	2	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_009902069.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077709263.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077718028.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077720922.1	99.803	1015	2	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077701624.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_077746599.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_074091159.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_074049122.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_022620617.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021405616.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021403734.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021377046.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021380256.1	99.901	1015	1	0	1	1015	800	1814	0.0	1207	100.00
sp|P18177.3|TOXB_CLODI:800-1814	WP_021363304.1	100.000	1015	0	0	1	1015	800	1814	0.0	1207	100.00
